# line	base	offset	resolved
15990	DOSBase	-0x24	DOSBase.Close
16001	SysBase	-0x228	SysBase.OpenLibrary
16012	SysBase	-0x1c2	SysBase.CloseDevice
16023	DOSBase	-0xd2	DOSBase.ParentDir
16051	SysBase	-0x1bc	SysBase.OpenDevice
16062	DOSBase	-0x5a	DOSBase.UnLock
16073	SysBase	-0x84	SysBase.Forbid
16084	DOSBase	-0x9c	DOSBase.UnLoadSeg
16116	SysBase	-0xfc	SysBase.Remove
16149	IntuitionBase	-0x108	IntuitionBase.SetMenuStrip
16160	DOSBase	-0x54	DOSBase.Lock
16171	SysBase	-0x8a	SysBase.Permit
16193	DOSBase	-0x66	DOSBase.Examine
16204	IntuitionBase	-0x48	IntuitionBase.CloseWindow
16215	SysBase	-0xf0	SysBase.AddHead
16226	DOSBase	-0x2a	DOSBase.Read
16237	IntuitionBase	-0x42	IntuitionBase.CloseScreen
16248	SysBase	-0x19e	SysBase.CloseLibrary
16259	IntuitionBase	-0x96	IntuitionBase.ModifyIDCMP
16270	SysBase	-0xc6	SysBase.AllocMem
16862	DOSBase	-0x1e	DOSBase.Open
16873	DOSBase	-0x24	DOSBase.Close
16884	DOSBase	-0x2a	DOSBase.Read
16895	DOSBase	-0x30	DOSBase.Write
16906	DOSBase	-0x54	DOSBase.Lock
16917	DOSBase	-0x5a	DOSBase.UnLock
16928	DOSBase	-0x66	DOSBase.Examine
16939	DOSBase	-0x8a	DOSBase.CreateProc
16950	DOSBase	-0x96	DOSBase.LoadSeg
16961	DOSBase	-0x9c	DOSBase.UnLoadSeg
16972	DOSBase	-0xc6	DOSBase.Delay
16983	DOSBase	-0xd2	DOSBase.ParentDir
16994	DOSBase	-0xde	DOSBase.Execute
17005	SysBase	-0x84	SysBase.Forbid
17016	SysBase	-0x8a	SysBase.Permit
17027	SysBase	-0xc6	SysBase.AllocMem
17038	SysBase	-0xd2	SysBase.FreeMem
17049	SysBase	-0xf0	SysBase.AddHead
17060	SysBase	-0xfc	SysBase.Remove
17071	SysBase	-0x126	SysBase.FindTask
17082	SysBase	-0x13e	SysBase.Wait
17093	SysBase	-0x14a	SysBase.AllocSignal
17104	SysBase	-0x150	SysBase.FreeSignal
17115	SysBase	-0x162	SysBase.AddPort
17126	SysBase	-0x168	SysBase.RemPort
17137	SysBase	-0x16e	SysBase.PutMsg
17148	SysBase	-0x174	SysBase.GetMsg
17159	SysBase	-0x17a	SysBase.ReplyMsg
17170	SysBase	-0x180	SysBase.WaitPort
17181	SysBase	-0x19e	SysBase.CloseLibrary
17192	SysBase	-0x1bc	SysBase.OpenDevice
17203	SysBase	-0x1c2	SysBase.CloseDevice
17214	SysBase	-0x1c8	SysBase.DoIO
17225	SysBase	-0x1ce	SysBase.SendIO
17236	SysBase	-0x228	SysBase.OpenLibrary
17247	SysBase	-0x234	SysBase.ObtainSemaphore
17258	SysBase	-0x23a	SysBase.ReleaseSemaphore
17269	GfxBase	-0x3c	GfxBase.Text
17280	GfxBase	-0xc0	GfxBase.LoadRGB4
17291	GfxBase	-0xc6	GfxBase.InitRastPort
17302	GfxBase	-0xf0	GfxBase.Move
17313	GfxBase	-0x132	GfxBase.RectFill
17324	GfxBase	-0x156	GfxBase.SetAPen
17335	GfxBase	-0x15c	GfxBase.SetBPen
17346	GfxBase	-0x162	GfxBase.SetDrMd
17357	GfxBase	-0x186	GfxBase.InitBitMap
17368	GfxBase	-0x18c	GfxBase.ScrollRaster
17379	GfxBase	-0x25e	GfxBase.BltBitMapRastPort
17390	IntuitionBase	-0x36	IntuitionBase.ClearMenuStrip
17401	IntuitionBase	-0x3c	IntuitionBase.ClearPointer
17412	IntuitionBase	-0x42	IntuitionBase.CloseScreen
17423	IntuitionBase	-0x48	IntuitionBase.CloseWindow
17434	IntuitionBase	-0x66	IntuitionBase.DoubleClick
17445	IntuitionBase	-0x6c	IntuitionBase.DrawBorder
17456	IntuitionBase	-0x72	IntuitionBase.DrawImage
17467	IntuitionBase	-0x96	IntuitionBase.ModifyIDCMP
17478	IntuitionBase	-0xa2	IntuitionBase.MoveScreen
17489	IntuitionBase	-0xae	IntuitionBase.OffGadget
17500	IntuitionBase	-0xb4	IntuitionBase.OffMenu
17511	IntuitionBase	-0xba	IntuitionBase.OnGadget
17522	IntuitionBase	-0xc0	IntuitionBase.OnMenu
17533	IntuitionBase	-0xc6	IntuitionBase.OpenScreen
17544	IntuitionBase	-0xcc	IntuitionBase.OpenWindow
17555	IntuitionBase	-0xd8	IntuitionBase.PrintIText
17566	IntuitionBase	-0xfc	IntuitionBase.ScreenToFront
17577	IntuitionBase	-0x108	IntuitionBase.SetMenuStrip
17588	IntuitionBase	-0x10e	IntuitionBase.SetPointer
17599	IntuitionBase	-0x114	IntuitionBase.SetWindowTitles
17610	IntuitionBase	-0x138	IntuitionBase.WindowToFront
17621	IntuitionBase	-0x14a	IntuitionBase.IntuiTextLength
17632	IntuitionBase	-0x1b0	IntuitionBase.RefreshGList
17643	IntuitionBase	-0x1b6	IntuitionBase.AddGList
17654	IntuitionBase	-0x1bc	IntuitionBase.RemoveGList
17665	IntuitionBase	-0x1ce	IntuitionBase.ActivateGadget
